,As,Cr,Mo,Ni,Sb,Sn,distance,multiplicity
site-1,-0.5485556999997243,-0.12367952999989029,-0.4415918199999851,-0.18368257999975413,-1.2445984999998245,-1.2972039599999334,0.0,2
site-2,-0.8737956999997323,-0.09282952999990357,0.22863817999996172,-0.3945325799998045,-0.5440684999997529,-0.4584139599999162,1.1,4
site-3,-0.4372756999997591,-0.04203952999989724,-0.17778181999995013,-0.09477257999981248,-0.5895984999998518,-0.6723339599999463,1.7,4
site-4,-0.05686569999977564,0.05872047000002567,-0.006211819999975887,-0.07871257999977388,-0.27918849999980466,-0.973653959999865,2.6,4
site-5,-0.02883569999971769,0.07041047000006984,0.0920581799999809,-0.0006125799998244474,0.029991500000164706,0.021606040000051507,3.4,4
site-6,-0.1039456999998265,0.02944047000005412,-0.011191820000021835,-0.00131257999976242,-0.21520849999978964,-0.2526139599998487,4.2,4
